"",1000,1200,1400,1600,1800,2000
#gsub,311.34771626058586,460.2274880511706,571.5377019256669,548.291899356799,607.401107306585,687.152230669218
#gsub!,37.274261033927054,39.883659097091,49.99811712968286,55.71218822263761,59.734269723336745,63.64270109991639
#tr,12.085046856878822,14.18931981376088,16.65013040685115,18.638813672835465,21.41856902899444,23.309507818940215
